Link_ID in VISSIM,Length(km),Green_ratio,Lanes
2665,0.142,1.0,3
2666,0.093,1.0,3
2667,0.159,0.33,2
2668,0.158,0.17,1
2669,0.203,1.0,3
2670,0.062,1.0,1
2671,0.061,1.0,1
2672,0.035,1.0,1
2673,0.14,1.0,3
2674,0.151,0.33,2
2675,0.151,0.17,1
2676,0.511,1.0,3
2677,0.103,1.0,3
2678,0.081,1.0,3
2679,0.152,0.17,1
2680,0.152,0.33,2
2681,0.365,1.0,3
2682,0.157,0.33,2
2683,0.155,0.17,1
2684,0.524,1.0,3
2685,0.28,1.0,3
2686,0.117,1.0,3
2687,0.159,0.33,2
2688,0.158,0.17,1
2689,0.039,1.0,1
2690,0.102,1.0,1
2691,0.102,1.0,1
2692,0.192,1.0,1
2693,0.188,0.33,1
2694,0.179,0.5,1
2695,0.187,1.0,1
2696,0.14,1.0,1
2697,0.138,0.5,1
2698,0.118,0.5,1
2699,0.119,1.0,1
2700,0.36,0.33,1
2701,0.365,1.0,1
2702,0.345,1.0,3
2703,0.151,0.33,2
2704,0.151,0.17,1
2705,0.503,1.0,3
2706,0.177,1.0,3
2707,0.231,1.0,3
2708,0.152,0.17,1
2709,0.152,0.33,2
2710,0.341,1.0,3
2711,0.157,0.33,2
2712,0.155,0.17,1
2713,0.493,1.0,3
2714,0.512,1.0,3
2715,0.348,1.0,3
2716,0.159,0.33,2
2717,0.158,0.17,1
2718,0.203,1.0,3
2719,0.062,1.0,1
2720,0.061,1.0,1
2721,0.201,1.0,1
2722,0.14,1.0,3
2723,0.151,0.33,2
2724,0.151,0.17,1
2725,0.511,1.0,3
2726,0.382,1.0,3
2727,0.217,1.0,3
2728,0.152,0.17,1
2729,0.152,0.33,2
2730,0.11,1.0,3
2731,0.157,0.33,2
2732,0.155,0.17,1
2733,0.224,1.0,3
2734,0.512,1.0,3
2735,0.348,1.0,3
2736,0.159,0.33,2
2737,0.158,0.17,1
2738,0.207,1.0,1
2739,0.043,1.0,1
2740,0.042,1.0,1
2741,0.11,0.67,3
2742,0.211,0.67,3
2743,0.355,1.0,1
2744,0.343,1.0,1
2745,0.086,0.5,1
2746,0.114,1.0,1
2747,0.086,1.0,1
2748,0.113,1.0,1
2789,0.349,1.0,3
2790,0.151,0.33,2
2791,0.151,0.17,1
2792,0.503,1.0,3
2793,0.14,1.0,3
2794,0.119,1.0,3
2795,0.152,0.17,1
2796,0.152,0.33,2
2797,0.341,1.0,3
2798,0.157,0.33,2
2799,0.155,0.17,1
2800,0.493,1.0,3
2801,0.142,1.0,3
2802,0.093,1.0,3
2803,0.159,0.33,2
2804,0.158,0.17,1
2805,0.203,1.0,3
2806,0.062,1.0,1
2807,0.061,1.0,1
2808,0.035,1.0,1
2809,0.14,1.0,3
2810,0.151,0.33,2
2811,0.151,0.17,1
2812,0.511,1.0,3
2813,0.078,1.0,3
2814,0.04,1.0,3
2815,0.152,0.17,1
2816,0.152,0.33,2
2817,0.346,1.0,3
2818,0.157,0.33,2
2819,0.155,0.17,1
2820,0.503,1.0,3
2821,0.28,1.0,3
2822,0.117,1.0,3
2823,0.159,0.33,2
2824,0.158,0.17,1
2825,0.039,1.0,1
2826,0.102,1.0,1
2827,0.102,1.0,1
2828,0.192,1.0,1
2829,0.188,0.33,1
2830,0.179,0.5,1
2831,0.187,1.0,1
2832,0.14,1.0,1
2833,0.138,0.5,1
2834,0.118,0.5,1
2835,0.119,1.0,1
2836,0.36,0.33,1
2837,0.365,1.0,1
2838,0.095,1.0,3
2839,0.151,0.33,2
2840,0.151,0.17,1
2841,0.249,1.0,3
2842,0.177,1.0,3
2843,0.231,1.0,3
2844,0.152,0.17,1
2845,0.152,0.33,2
2846,0.341,1.0,3
2847,0.157,0.33,2
2848,0.155,0.17,1
2849,0.493,1.0,3
2850,0.512,1.0,3
2851,0.348,1.0,3
2852,0.159,0.33,2
2853,0.158,0.17,1
2854,0.203,1.0,3
2855,0.062,1.0,1
2856,0.061,1.0,1
2857,0.201,1.0,1
2858,0.14,1.0,3
2859,0.151,0.33,2
2860,0.151,0.17,1
2861,0.511,1.0,3
2862,0.382,1.0,3
2863,0.217,1.0,3
2864,0.152,0.17,1
2865,0.152,0.33,2
2866,0.346,1.0,3
2867,0.157,0.33,2
2868,0.155,0.17,1
2869,0.503,1.0,3
2870,0.512,1.0,3
2871,0.348,1.0,3
2872,0.159,0.33,2
2873,0.158,0.17,1
2874,0.207,1.0,1
2875,0.06,1.0,1
2876,0.06,1.0,1
2877,0.11,0.67,3
2878,0.211,0.67,3
2879,0.188,1.0,1
2880,0.031,1.0,1
2881,0.086,0.5,1
2882,0.114,1.0,1
2883,0.086,1.0,1
2884,0.113,1.0,1
2952,0.015,1.0,3
2953,0.151,0.33,2
2954,0.151,0.17,1
2955,0.283,1.0,3
2956,0.306,1.0,2
2957,0.143,1.0,2
2958,0.152,0.17,1
2959,0.152,0.33,1
2960,0.043,1.0,3
2961,0.157,0.33,2
2962,0.155,0.17,1
2963,0.199,1.0,3
2964,0.512,1.0,2
2965,0.348,1.0,2
2966,0.159,0.33,1
2967,0.158,0.17,1
2968,0.148,1.0,3
2969,0.062,1.0,1
2970,0.061,1.0,1
3079,0.03,1.0,2
3080,0.06,0.27,1
3081,0.095,1.0,2
