Link_ID in VISSIM,Length(km),Green_ratio,Lanes
10214,0.007,1.0,1
10215,0.005,1.0,1
10216,0.01,1.0,1
10217,0.007,1.0,1
10218,0.012,1.0,1
10219,0.006,1.0,1
10220,0.013,1.0,1
10221,0.012,1.0,1
10222,0.012,1.0,1
10223,0.006,1.0,1
10224,0.012,1.0,1
10225,0.011,1.0,1
10226,0.005,1.0,1
10227,0.012,1.0,1
10228,0.005,1.0,1
10229,0.012,1.0,1
10230,0.003,,1
10231,0.011,1.0,1
10232,0.008,1.0,1
10233,0.006,1.0,1
10234,0.005,1.0,1
10235,0.005,,1
10236,0.005,1.0,1
10237,0.005,1.0,1
10238,0.007,1.0,1
10239,0.005,1.0,1
10240,0.01,1.0,1
10241,0.007,1.0,1
10242,0.012,1.0,1
10243,0.006,1.0,1
10244,0.013,1.0,1
10245,0.012,1.0,1
10246,0.012,1.0,1
10247,0.006,1.0,1
10248,0.012,1.0,1
10249,0.011,1.0,1
10250,0.005,1.0,1
10251,0.012,1.0,1
10252,0.005,1.0,1
10253,0.012,1.0,1
10254,0.007,1.0,1
10255,0.005,1.0,1
10256,0.01,1.0,1
10257,0.007,1.0,1
10258,0.012,1.0,1
10259,0.006,1.0,1
10260,0.013,1.0,1
10261,0.012,1.0,1
10262,0.012,1.0,1
10263,0.006,1.0,1
10264,0.012,1.0,1
10265,0.011,1.0,1
10266,0.005,1.0,1
10267,0.012,1.0,1
10268,0.005,1.0,1
10269,0.012,1.0,1
10270,0.003,,1
10271,0.011,1.0,1
10272,0.008,1.0,1
10273,0.006,1.0,1
10274,0.007,1.0,1
10275,0.005,1.0,1
10276,0.01,1.0,1
10277,0.007,1.0,1
10278,0.012,1.0,1
10279,0.006,1.0,1
10280,0.013,1.0,1
10281,0.012,1.0,1
10282,0.012,1.0,1
10283,0.006,1.0,1
10284,0.012,1.0,1
10285,0.011,1.0,1
10286,0.005,1.0,1
10287,0.012,1.0,1
10288,0.005,1.0,1
10289,0.012,1.0,1
10290,0.007,1.0,1
10291,0.005,1.0,1
10292,0.01,1.0,1
10293,0.007,1.0,1
10294,0.012,1.0,1
10295,0.006,1.0,1
10296,0.013,1.0,1
10297,0.012,1.0,1
10298,0.012,1.0,1
10299,0.006,1.0,1
10300,0.012,1.0,1
10301,0.011,1.0,1
10302,0.005,1.0,1
10303,0.012,1.0,1
10304,0.005,1.0,1
10305,0.012,1.0,1
10306,0.003,,1
10307,0.011,1.0,1
10308,0.008,1.0,1
10309,0.006,1.0,1
10310,0.005,1.0,1
10311,0.005,,1
10312,0.005,1.0,1
10313,0.005,1.0,1
10314,0.009,,1
10315,0.009,,1
10316,0.007,,1
10317,0.009,,1
10318,0.007,,1
10319,0.009,1.0,1
10320,0.009,,1
10321,0.009,,1
10322,0.007,1.0,1
10323,0.008,1.0,1
10324,0.01,,1
10325,0.008,,1
10326,0.005,,1
10327,0.006,,1
10328,0.005,,1
10329,0.004,,1
10330,0.008,,1
10331,0.005,,1
